bintang,komentar
1,"Halllo lazada ...saya returnd barang dan minta pengembalian dana,barang udah di ambil kurir,dan di lihat dari pergerakan barang masih mentok di paket sedang dikirim ke penjual terus dari tgl 26 September sampe sekarang tulisannya masih paket sedang di kirim ke penjual terus ..mau sampe kapan ,mana harga paketan ya 850rb ,duit ya kemanain wooy tolong jawab admin lazada"
1,Tolong ya buat aplikasi lazada penjual yg menaruk harga tidak sesuai di atalase nya mohon untuk di blokir segera masak di talase nya harga nya 120 pas di klik beli sekarang malah beda yang muncul malah harga 290 Maksud nya gimana itu tolong dipertimbang kan lagi penjual seperti itu agar tidak meresah kan pembeli terima kasih😡😡😡😡
1,Setelah di perbarui kok harga-harga pada naik ya. Yang semula 53rb jadi 105rb. G0bl*k..
1,"Aplikasi tak berguna,kurir sering menagih biaya diluar harga yang sudah tertera.potongan gratis ongkir cuma iklan saja,tidak sesuai fakta,ongkir tidak flat seluruh Indonesia lagi."
1,"Dapat penawaran lazbon berkali kali,tp tiap isi data khususnya email selalu dibilang masukkan data dg benar...klo mmg tidak niat memberikan pinjaman hilangin aja fitur lazbon nya"
1,"masih ada 3 voucher gratis ongkir,tp ketika check out voicher ga bisa digunakan dengan keterangan voucher tidak berlaku untuk akun anda,pdhl sehari sebelum nya masih bisa.."
1,Dulu apa2 belanja disini semenjak beda di halaman dan beda saat cek out jadi males.. Uninstal aja
1,"Makin besar promo atau bonus, semakin besar pula kemungkinan gagal dalam proses transaksi. Setelah voucher promo atau bonus diskon tidak dipakai, barulah bisa melakukan transaksi. BAGUSSS!!!"
1,Tampilan harga awal berbeda dengan harga saat chek out. Mau chek out malah gak jadi.
1,"Saya bingung harga di halaman seadainya 6.000 trs klo fi cekut berubah harganya klo di hitung ongkir juga gratis ,knpa bisa bgitu,ap itu salh satu tidak penipun atau pemsnya lazada sdri tolong bos krjasamanya"
1,"Ini gimanasih saya mau login gabisa malah harus verifikasi keamanan di hp sebelumnya,padahal hp sebelumnya udah dijual dan di reset dan no hpnya jelas saya yg pegang"
1,"Wah gimana nih udah 5 hari masih aja error ga bisa buat klaim voucher selalu aja ""Permintaan gagal ada indikasi aktifitas akun yang tidak sesuai. (V99)"""
1,"Pesan barang 4 yang 1 terkirim cuma 3hari yang 3 kenapa udh 1 minggu lebih belum sampai""... Lazada gk kaya dlu lagi🤦‍♂️"
1,Katanya free ongkir.....setelah di klik malah jadi mahal ongkirnya... Ga sesuai sama promonya FREE ONGKIR !
1,"Tidak dapat gratis ongkir eror Mulu pas mau belanja, sebelum nya ngga tapi akhir2 ini eror Mulu ngga bisa klik gratis ongkir"
1,"Gra gra nih aplikasi mau co pke dana malah nyngkut duit gua di dana smpe skrng ga bisa balik krna hrus upgrade premium, ngsih promo 50% tpi tb tb gua udh top up dana mlah brubah akhirnya jdi gabisa keambil didana sialan, jngn percaya ama lazada & dana dua duanya mafia smua isinya"
1,"Tolong diperbaiki masalah harga pengiriman. Barang harga 5.000 pas dipesan jadi 15.000 tambah harga pengiriman 12.000 rupiah Tolong masalah harga dan pengiriman juga barangnya jangan asal kirim Kebanyakan KW dan tipu"" Tolong diperbaiki lagi..."
1,"Harga fiktif diskon,stelah di chekout harga jadi normal. Percuma ada diskon kalo ternyata fiktif. Ditambah apk sering kluar sendiri. Jdi males pake lazada mending pake yg oren"
1,"Mau pembayaran menggunakan paylater,,malah tidak bisa,,sangat Mengecewakan sekali"
1,"Lazada semakin lemot saat masuk aplikasi banyak bug, dan semakin mengada ngada, dan toko-toko mengada ngada menawarkan produk yang murah ternyata tidak benar dan kadang tidak sesuai"
1,4x pesanan gagal kirim. Agak lain ngirim paket malam. Ketika lagi gk ada di tempat. Mulai detik ini saya uninstall apk ini
1,Kalo masalah aplikasi dah bagus..tpi kaya nya ni kurang yg pake soal nya iklan nya di setiap aplikasi banyak...iklan terbesar kaya nya cuma aplikasi lazada
1,"Force close mulu ditambah akun suka keluar sendiri, mau gamau harus log in lagi, bikin tau ga. Banyak juga tuh seller nakal, di ajukan pembatalan maupun pengembalian ribet bgt"
1,"Jelek banget,saya ngasih no yg masih saya gunakan,tapi tidak bisa,harus yg aktif,pedahal itu aktif,lazada buruk sekaliii,harus diperbaiki"
1,"Jujur dari dulu saya suka belanja pake aplikasi ini,tapi semakin kesini ongkir nya semakin mahal.maaf saya uninstal aja."
1,"Gegara seller yg gak amanah jadi males belanja disini merasa dicurangi banget sama seller nakal,sayang banget padahal lazada ini bagus banget harganya murah tp jd males krna seller gk bertanggungjawab"
1,"Semakin ke sini semakin gak bermutu,,, harga di etalase sangat murah, begitu di klik beli, harga jadi 2x lipat, sangat tidak di rekomondasi 👎👎👎"
1,Dari dulu pake apk lazada sampe sekarang. dari pertama ada apk ini belum pernah yang namanya dapet hadiah mau itu bentuk apapun belum pernah sekalipun juga dari Lazada😊. Dapat chasback potongan harga juga belum pernah gede paling gede 5rb 10rb
1,Kalo gak niat kasih gratis ongkir ga usah di kasih tulisan gratis' ongkir dong mau pesen jadinya malah ada ongkir mana 19.000 lagi huhhh..
1,"Sumpah ga ngotak ongkir pake aplikasi ini, aplikasi macam apa ini, pemerasan, andai tiktokshop gak tutup saya gak mungkin belanja disini , mahal, ongkir lebih mahal dr produknya, kalo ada iklan Lazada selalu lari kelazada padahal saya gak mencet , memaksa bgt agar didownload agar dibeli, aplikasi pemaksaan namanya"
1,saya coba dulu kalau bagus y lanjut kalau iklan terlalu berlebih' y terpaksa kita copot
1,Kenapa harus dikirim paket saya lewat J&T si...tidak NINJA EXPRESS saja...soalnya...J&T kalau dicabang BACAN tidak diantarkan paketnya kekonsumennya
1,"Paylatter saya tiba2 hilang. Padahal udah di upgrade beberapa kali, tetep z ga muncul..."
1,Kecewa dengan jasa pengiriman LEX Id. Mending hapus atau tambahin jasa pengiriman lain. Untuk jangkauan jabodetabek mungkin ok saja tp diluar itu BAD. Bagus jasa kirim lain.
1,"Ditempat ku gak bisa cod, padahal sebelumnya bisa, saya udah coba beberapa toko juga tetap gak bisa cod."
1,"Sekarang kena biaya setiap checkout, terus gratis ongkir 30rb min 30 udah ga ada lagi, diganti gratis ongkir 20rb min 20rb"
1,"tolol bgt lazada lama"" ngelunjak. ga bisa mengklaim voucher gratis ongkir. operator nya sampe nelpon suruh tungguin sampe detik ini ga bisa juga mengklaim voucher. bikin pelanggan kecewa apalagi pelanggan setia. dari 2019 udah pake lazada. tau gini mah mending beralih ke shopee. kecewa bgt sm lazada. ga jelas fiturnya, pas ditroli gratis ongkir giliran mau check out sm sekali ga gratis ongkir. niat nipu bgt, untung liat dulu harga akhirnya brp,. ga amanah. semoga bangkrut lah.😡😡😡😡😡😡😡👊"
1,Pada hal pembayaran saya lancar gak pernah telat apa lagi terlambat👎👎👎aku kalau harga yang murah sering C O D 👎👎👎 Enak aku laku limitnya besar
